Date,Follow_Type,Observer,Time_Start,Time_End,Total_Follow_Time,Ofav_Visits,Oann_Visits,Ofrank_Visits,Acer_Visits,Dlab_Visits,Pstrig_Visits,Ssid_Visits,Gorg_Visits,Ag_Visits,Sed_Visits,Past_Visits,Malc_Visits,Mmir_Visits,Mcav_Visits,Cnat_Visits,Efas_Visits,Sponge_Visits,Unk_Visits,Total_Visits
6/29/2021,Baseline,Krista,16:51:53,17:12:00,0:20:07,1,11,3,6,0,0,0,18,0,3,0,0,0,0,0,0,0,0,42
6/29/2021,Baseline,Krista,17:15:33,17:35:58,0:20:25,0,8,2,0,0,0,1,21,0,2,0,0,0,0,0,0,0,1,35
6/30/2021,Baseline,Krista,15:25:29,15:46:11,0:20:42,0,3,1,0,0,4,0,12,0,14,0,0,0,0,0,0,0,0,34
6/30/2021,Baseline,Krista,15:51:40,16:12:27,0:20:47,3,5,0,0,0,0,0,16,0,20,1,1,0,0,0,0,1,0,47
6/30/2021,Baseline,Krista,16:17:27,16:36:25,0:18:58,5,15,0,0,0,0,0,12,2,3,1,0,1,0,0,0,0,0,39
7/2/2021,Baseline,Krista,16:00:11,16:19:59,0:19:48,0,13,0,0,0,0,0,13,0,23,0,1,0,0,0,0,1,2,53
7/2/2021,Baseline,Krista,16:25:47,16:45:34,0:19:47,0,9,0,0,1,0,0,7,0,23,2,1,0,0,0,0,1,0,44
7/2/2021,Baseline,Krista,16:50:13,17:10:38,0:20:25,0,11,0,0,0,0,1,4,0,2,0,1,0,0,0,0,0,0,19
7/5/2021,Prespawning,Krista,16:05:28,16:25:32,0:20:04,0,18,1,0,4,1,0,18,1,15,2,0,0,1,0,0,0,0,61
7/5/2021,Prespawning,Krista,16:29:37,16:49:50,0:20:13,13,14,2,0,0,0,0,8,0,6,0,0,1,0,1,0,0,2,47
7/6/2021,Prespawning,Krista,15:57:50,16:18:28,0:20:38,10,18,1,0,2,2,0,11,1,4,0,0,3,1,0,0,0,1,54
7/6/2021,Prespawning,Krista,16:23:26,16:43:53,0:20:27,8,11,0,4,2,0,0,15,0,10,0,0,0,0,0,1,0,2,53
7/6/2021,Peak_spawning,Krista,17:44:30,18:05:32,0:21:02,1,2,0,0,13,0,0,12,1,3,0,0,0,0,0,0,0,0,32
7/6/2021,Peak_spawning,Krista,18:07:57,18:28:28,0:20:31,1,3,0,1,5,1,0,15,0,3,0,0,0,0,0,0,0,0,29
7/7/2021,cusp_spawning,Krista,17:48:37,18:08:43,0:20:06,0,9,1,0,1,0,0,14,1,4,0,0,0,0,0,0,0,0,30
7/7/2021,cusp_spawning,Krista,18:11:21,18:31:40,0:20:19,8,9,0,0,1,0,0,15,0,12,3,0,0,0,0,0,0,2,50
